group_name,demographic_parity,tpr,fpr
Gender: M,0.07951303977491268,0.3886255924170616,0.047448522829006266
Gender: F,0.08321445286994393,0.355,0.057816836262719704
Age: Young,0.15599011018440878,0.6,0.1588235294117647
Age: Mid,0.10023480047670946,0.43703703703703706,0.07463989524225229
Age: Senior,0.05401618997032604,0.2028985507246377,0.020843202273803884
